pred_date,avg_return,total_return,n_picks,direction_accuracy,positive_rate,rolling_avg_return,rolling_accuracy,cumulative_return
2026-01-23,-0.013068162607369566,-0.13068162607369566,10,0.4,0.4,-0.013068162607369566,0.4,-0.013068162607369538
2026-01-27,-0.04583207775527456,-0.9166415551054912,20,0.25,0.25,-0.02945012018132206,0.325,-0.05830129931790451
2026-01-28,-0.031017819062303928,-0.49628510499686285,16,0.3125,0.3125,-0.02997268647498268,0.32083333333333336,-0.08751073922686847
2026-01-29,-0.11134732306887551,-1.1134732306887551,10,0.1,0.1,-0.05031634562345589,0.265625,-0.18911397574305377
2026-01-30,0.013394705411975483,0.13394705411975483,10,0.6,0.6,-0.037574135416369614,0.3325,-0.17825239632544398
2026-02-02,-0.011228562790557672,-0.11228562790557672,10,0.5,0.5,-0.033183206645400955,0.36041666666666666,-0.1874794408912941
2026-02-03,0.006161969387634847,0.06161969387634847,10,0.5,0.5,-0.027562467212110132,0.3803571428571429,-0.18247271407924226
2026-02-04,0.0525485219795244,0.525485219795244,10,0.7,0.7,-0.01754859356315581,0.4203125,-0.13951286352617442
2026-02-05,0.03329431098443729,0.33294310984437286,10,0.5,0.5,-0.01189938194675658,0.42916666666666664,-0.11086353720630693
2026-02-06,-0.006326977223876877,-0.06326977223876877,10,0.6,0.6,-0.011342141474468609,0.44625000000000004,-0.11648908335532104
2026-02-09,-0.019612652470489145,-0.19612652470489145,10,0.5,0.5,-0.012094006110470477,0.45113636363636367,-0.13381707591735648
2026-02-10,0.03413448520050585,0.3413448520050585,10,0.7,0.7,-0.008241631834555783,0.471875,-0.10425036771432661
2026-02-11,-0.02898995920410798,-0.2898995920410798,10,0.1,0.1,-0.009837657016829027,0.4432692307692308,-0.13021811301138297
2026-02-12,0.05188009398508971,0.5188009398508971,10,0.8,0.8,-0.005429246230977689,0.46875,-0.08509374696788496
2026-02-13,0.008654342813111011,0.09519777094422113,11,0.5454545454545454,0.5454545454545454,-0.004490340294705108,0.4738636363636363,-0.07717583461228616
2026-02-17,0.020629658658739825,0.20629658658739825,10,0.6,0.6,-0.0029203403601148004,0.4817471590909091,-0.058138287078301154
2026-02-18,0.04298983227282319,0.4298983227282319,10,0.6,0.6,-0.00021974196994197764,0.4887032085561498,-0.017647810015603338
2026-02-19,0.015141175470378432,0.15141175470378432,10,0.6,0.6,0.0006336423322980451,0.4948863636363636,-0.002773843133338949
2026-02-20,0.016131579759976183,0.16131579759976183,10,0.6,0.6,0.001449323249544263,0.5004186602870814,0.01331299015489007
2026-02-23,0.05297225288902774,0.5826947817793051,11,0.7272727272727273,0.7272727272727273,0.004025469731518437,0.5117613636363636,0.06699046212511184
2026-02-24,0.03277612771072823,0.3277612771072823,10,0.7,0.7,0.006317684247423326,0.5267613636363636,0.10196227777785327
2026-02-25,-0.02525001646405763,-0.2525001646405763,10,0.3,0.3,0.007346787311984173,0.5292613636363636,0.07413771212119191
2026-02-26,-0.0542196239012531,-0.542196239012531,10,0.2,0.2,0.006186697070036714,0.5236363636363637,0.015898369351828423
2026-02-27,-0.11149201546045892,-1.1149201546045893,10,0.2,0.2,0.006179462450457545,0.5286363636363636,-0.09736618735020064
2026-03-02,-0.03621438713155484,-0.36214387131554837,10,0.2,0.2,0.0036990078232810274,0.5086363636363636,-0.1300545176795318
2026-03-03,-0.004975265624321584,-0.04975265624321584,10,0.5,0.5,0.004011672681592832,0.5086363636363636,-0.1343827275327547
2026-03-04,-0.03351923938624141,-0.3351923938624141,10,0.2,0.2,0.002027612242899019,0.49363636363636365,-0.1633975601054497
2026-03-05,-0.03788533155459899,-0.37885331554598994,10,0.3,0.3,-0.002494080433807151,0.47363636363636363,-0.1950925209202412
2026-03-06,0.008268576937527899,0.082685769375279,10,0.5,0.5,-0.00374536713615262,0.47363636363636363,-0.18843708150187854
2026-03-09,0.00319109090665977,0.03510199997325747,11,0.5454545454545454,0.5454545454545454,-0.003269463729625788,0.4709090909090909,-0.18584731045247693
2026-03-10,0.01558394129234654,0.1558394129234654,10,0.4,0.4,-0.0015096340414840037,0.46590909090909094,-0.1731596027355622
2026-03-11,0.006325138285128824,0.06325138285128824,10,0.6,0.6,-0.002900101387252855,0.46090909090909093,-0.1679297228831338
2026-03-12,0.06580739485840872,0.6580739485840873,10,0.8,0.8,0.0018397663158729802,0.4959090909090909,-0.11317334560695858
2026-03-13,-0.0032091885281939824,-0.028882696753745843,9,0.4444444444444444,0.4444444444444444,-0.0009146978097912047,0.4781313131313131,-0.11601933953273336
2026-03-16,-0.015851238846315834,-0.15851238846315835,10,0.2,0.2,-0.002139976892762547,0.4608585858585859,-0.130031528117324
2026-03-17,-0.02282814555421165,-0.22828145554211648,10,0.4,0.4,-0.0043128671034101205,0.45085858585858585,-0.14989129502103682
2026-03-18,0.018378997675859737,0.18378997675859737,10,0.7,0.7,-0.005543408833258294,0.45585858585858585,-0.1342671491080003
2026-03-19,-0.024573141122765683,-0.24573141122765682,10,0.3,0.3,-0.007529124662915498,0.4408585858585858,-0.15554092462758362
2026-03-20,-0.021954034010660563,-0.19758630609594507,9,0.4444444444444444,0.4444444444444444,-0.009433405351447337,0.43308080808080807,-0.17408020788892065
2026-03-23,-0.0445434095781426,-0.3563472766251408,8,0.125,0.125,-0.014309188474805853,0.4029671717171717,-0.2108694914676189
2026-03-24,-0.01730825070706739,-0.15577425636360653,9,0.4444444444444444,0.4444444444444444,-0.01681340739569564,0.39018939393939395,-0.22452796014989296
2026-03-25,-0.02354026034471229,-0.2589428637918352,11,0.36363636363636365,0.36363636363636365,-0.016727919589728368,0.3933712121212121,-0.2427827738580095
2026-03-26,0.031611941206065516,0.3161194120606552,10,0.9,0.9,-0.012436341334362439,0.42837121212121215,-0.2188456674249888
2026-03-27,0.03460341475475856,0.3460341475475856,10,0.8,0.8,-0.005131569823601563,0.45837121212121207,-0.1918150600674191
2026-03-30,0.06844311313591159,0.6844311313591159,10,0.9,0.9,0.00010130518977175817,0.4933712121212121,-0.13650036678887356
2026-03-31,0.03816100031837564,0.3816100031837564,10,0.7,0.7,0.0022581184869066196,0.5033712121212122,-0.10354835701098652
2026-04-01,0.04866875291309404,0.4866875291309404,10,0.7,0.7,0.0063675181018733925,0.5283712121212122,-0.05991917349981701
2026-04-02,0.038732909052126396,0.38732909052126396,10,0.7,0.7,0.010198430132209663,0.5483712121212121,-0.023507108345337535
2026-04-06,0.0653693269016048,0.7190625959176528,11,0.7272727272727273,0.7272727272727273,0.013053467630413507,0.5597348484848486,0.04032557470632958
2026-04-07,0.09768802948024753,1.0745683242827229,11,0.9090909090909091,0.9090909090909091,0.017778314559092893,0.5779166666666666,0.14195293011729704
2026-04-08,0.05976613962029517,0.6574275358232469,11,0.6363636363636364,0.6363636363636364,0.019987424475490328,0.5897348484848485,0.21020304837849246
2026-04-09,0.06418549616917414,0.7060404578609156,11,0.8181818181818182,0.8181818181818182,0.022880442369692593,0.6006439393939395,0.2878805315041131
2026-04-10,0.06975030693755722,0.6975030693755723,10,0.8,0.8,0.023077587973650015,0.6006439393939393,0.37771059387542927
2026-04-13,0.049209709697908374,0.49209709697908377,10,0.8,0.8,0.025698532884955133,0.6184217171717171,0.44550733224777206
2026-04-14,0.05544830360575046,0.5544830360575046,10,0.9,0.9,0.029263510007558453,0.6534217171717172,0.5256582616705849
2026-04-15,0.040205884269244985,0.40205884269244985,10,0.9,0.9,0.032415211498731285,0.6784217171717172,0.5869987011737299
2026-04-16,0.015839602203044777,0.15839602203044775,10,0.5,0.5,0.03228824172509053,0.6684217171717173,0.6121361292970704
2026-04-17,0.018619551351873848,0.18619551351873848,10,0.5,0.5,0.03444787634882251,0.6784217171717172,0.6421533807427284
2026-04-20,-0.03755992695123496,-0.3755992695123496,10,0.4,0.4,0.03366758170179379,0.6761994949494949,0.580474219719308
2026-04-21,-0.03230257813005942,-0.32302578130059423,10,0.3,0.3,0.03427962327419795,0.684949494949495,0.5294208277542805
2026-04-22,-0.0015735748789167526,-0.015735748789167527,10,0.3,0.3,0.03506635706560548,0.6777272727272727,0.5270141695604342
2026-04-23,-0.009698431155940648,-0.09698431155940648,10,0.4,0.4,0.03575844852504406,0.6795454545454546,0.5122045277628064
2026-04-24,0.024004097615216196,0.24004097615216197,10,0.4,0.4,0.0353780563455016,0.6545454545454545,0.5485036328613968
2026-04-27,0.03701892103347305,0.37018921033473046,10,0.7,0.7,0.035498831659437326,0.6495454545454546,0.6058275665663391
2026-04-28,0.13835461045098602,1.38354610450986,10,1.0,1.0,0.038994406525191046,0.6545454545454545,0.8280012139900799
