pred_date,avg_return,total_return,n_picks,direction_accuracy,positive_rate,rolling_avg_return,rolling_accuracy,cumulative_return
2026-01-23,-0.01306817336722799,-0.1306817336722799,10,0.4,0.4,-0.01306817336722799,0.4,-0.013068173367227987
2026-01-27,-0.04583207865690587,-0.9166415731381173,20,0.25,0.25,-0.02945012601206693,0.325,-0.05830131047446496
2026-01-28,-0.031017830511208332,-0.4962852881793333,16,0.3125,0.3125,-0.029972694178447393,0.32083333333333336,-0.08751076081879494
2026-01-29,-0.11134733014838194,-1.1134733014838194,10,0.1,0.1,-0.05031635317093103,0.265625,-0.1891140013907504
2026-01-30,0.01339469747047764,0.1339469747047764,10,0.6,0.6,-0.0375741430426493,0.3325,-0.1782524287563333
2026-02-02,-0.01122855657636295,-0.1122855657636295,10,0.5,0.5,-0.03318321196493491,0.36041666666666666,-0.18747946785153158
2026-02-03,0.006161979983435842,0.06161979983435842,10,0.5,0.5,-0.027562470258024798,0.3803571428571429,-0.18247273259630215
2026-02-04,0.0525485459336424,0.525485459336424,10,0.7,0.7,-0.0175485932340664,0.4203125,-0.13951286343313385
2026-02-05,0.03329430034116311,0.33294300341163113,10,0.5,0.5,-0.011899382836818675,0.42916666666666664,-0.11086354626856909
2026-02-06,-0.006326977223876877,-0.06326977223876877,10,0.6,0.6,-0.011342142275524495,0.44625000000000004,-0.11648909236024652
2026-02-09,-0.01961266077070848,-0.19612660770708482,10,0.5,0.5,-0.012094007593268495,0.45113636363636367,-0.13381709207900572
2026-02-10,0.03413448520050585,0.3413448520050585,10,0.7,0.7,-0.008241633193787299,0.471875,-0.10425038442764534
2026-02-11,-0.02898994308520325,-0.2898994308520325,10,0.1,0.1,-0.009837657031588527,0.4432692307692308,-0.13021811480168055
2026-02-12,0.05188009789267972,0.5188009789267972,10,0.8,0.8,-0.005429245965569366,0.46875,-0.0850937454523123
2026-02-13,0.00865431466146489,0.09519746127611378,11,0.5454545454545454,0.5454545454545454,-0.004490341923767082,0.4738636363636363,-0.07717585883971434
2026-02-17,0.020629658658739825,0.20629658658739825,10,0.6,0.6,-0.0029203418873604003,0.4817471590909091,-0.05813831180553297
2026-02-18,0.04298982954086826,0.42989829540868263,10,0.6,0.6,-0.0002197435680528321,0.4887032085561498,-0.017647838378978542
2026-02-19,0.015141180406167257,0.15141180406167257,10,0.6,0.6,0.0006336410971816172,0.4948863636363636,-0.0027738670774863916
2026-02-20,0.016131558585357905,0.16131558585357905,10,0.6,0.6,0.0014493209649803693,0.5004186602870814,0.013312944708603114
2026-02-23,0.05297226538506251,0.5826949192356876,11,0.7272727272727273,0.7272727272727273,0.004025468185984477,0.5117613636363636,0.06699042693382662
2026-02-24,0.032776112524742086,0.32776112524742085,10,0.7,0.7,0.0063176824805829795,0.5267613636363636,0.10196222522983245
2026-02-25,-0.025250009734614685,-0.25250009734614687,10,0.3,0.3,0.00734678592669754,0.5292613636363636,0.07413766831560165
2026-02-26,-0.054219637145127085,-0.5421963714512709,10,0.2,0.2,0.006186695595001602,0.5236363636363637,0.015898313695616784
2026-02-27,-0.11149200031362368,-1.1149200031362367,10,0.2,0.2,0.006179462086739514,0.5286363636363636,-0.09736622141354478
2026-03-02,-0.03621440059810211,-0.3621440059810211,10,0.2,0.2,0.003699007183310528,0.5086363636363636,-0.13005456266465332
2026-03-03,-0.004975265624321584,-0.04975265624321584,10,0.5,0.5,0.004011671730912596,0.5086363636363636,-0.13438277229406326
2026-03-04,-0.03351923938624141,-0.3351923938624141,10,0.2,0.2,0.002027610762428733,0.49363636363636365,-0.1633976033663932
2026-03-05,-0.0378853223156904,-0.378853223156904,10,0.3,0.3,-0.0024940826500379075,0.47363636363636363,-0.19509255481293641
2026-03-06,0.008268568691485794,0.08268568691485795,10,0.5,0.5,-0.0037453692325217737,0.47363636363636363,-0.18843712231211884
2026-03-09,0.00319109090665977,0.03510199997325747,11,0.5454545454545454,0.5454545454545454,-0.003269465825994941,0.4709090909090909,-0.1858473513929465
2026-03-10,0.01558394129234654,0.1558394129234654,10,0.4,0.4,-0.00150963572284219,0.46590909090909094,-0.17315964431404562
2026-03-11,0.006325138285128824,0.06325138285128824,10,0.6,0.6,-0.002900103068611041,0.46090909090909093,-0.16792976472460686
2026-03-12,0.06580739485840872,0.6580739485840873,10,0.8,0.8,0.001839763828569558,0.4959090909090909,-0.11317339020190997
2026-03-13,-0.0032091806266823647,-0.028882625640141282,9,0.4444444444444444,0.4444444444444444,-0.0009147000973985464,0.4781313131313131,-0.11601937697730047
2026-03-16,-0.015851248594838684,-0.15851248594838682,10,0.2,0.2,-0.002139978260213725,0.4608585858585859,-0.1300315735858536
2026-03-17,-0.02282814555421165,-0.22828145554211648,10,0.4,0.4,-0.004312868470861299,0.45085858585858585,-0.14989133945160416
2026-03-18,0.01837899592671898,0.1837899592671898,10,0.7,0.7,-0.005543410151568761,0.45585858585858585,-0.13426719584211677
2026-03-19,-0.024573149660656202,-0.24573149660656202,10,0.3,0.3,-0.007529126654909936,0.4408585858585858,-0.155540977604828
2026-03-20,-0.021954034010660563,-0.19758630609594507,9,0.4444444444444444,0.4444444444444444,-0.00943340628471086,0.43308080808080807,-0.1740802597031007
2026-03-23,-0.04454340695066736,-0.35634725560533886,8,0.125,0.125,-0.014309189901497352,0.4029671717171717,-0.21086953880373505
2026-03-24,-0.01730825070706739,-0.15577425636360653,9,0.4444444444444444,0.4444444444444444,-0.016813408063087825,0.39018939393939395,-0.2245280066667037
2026-03-25,-0.02354026034471229,-0.2589428637918352,11,0.36363636363636365,0.36363636363636365,-0.016727920593592703,0.3933712121212121,-0.2427828192798025
2026-03-26,0.031611941206065516,0.3161194120606552,10,0.9,0.9,-0.012436341676033077,0.42837121212121215,-0.21884571428265287
2026-03-27,0.03460341475475856,0.3460341475475856,10,0.8,0.8,-0.005131570922613965,0.45837121212121207,-0.1918151085465184
2026-03-30,0.06844311313591159,0.6844311313591159,10,0.9,0.9,0.00010130476408672096,0.4933712121212121,-0.13650041858603335
2026-03-31,0.03816100031837564,0.3816100031837564,10,0.7,0.7,0.002258118061221582,0.5033712121212122,-0.10354841078477772
2026-04-01,0.04866875291309404,0.4866875291309404,10,0.7,0.7,0.006367517676188356,0.5283712121212122,-0.059919229890711634
2026-04-02,0.038732909052126396,0.38732909052126396,10,0.7,0.7,0.010198429244579194,0.5483712121212121,-0.023507166920415545
