pred_date,avg_return,total_return,n_picks,direction_accuracy,positive_rate,rolling_avg_return,rolling_accuracy,cumulative_return
2026-01-23,-0.013068183152501434,-0.13068183152501434,10,0.4,0.4,-0.013068183152501434,0.4,-0.013068183152501467
2026-01-27,-0.04583207190257271,-0.9166414380514543,20,0.25,0.25,-0.029450127527537073,0.325,-0.05830131314519271
2026-01-28,-0.031017817073059447,-0.49628507316895115,16,0.3125,0.3125,-0.029972690709377862,0.32083333333333336,-0.08751075075199533
2026-01-29,-0.11134731344387694,-1.1134731344387694,10,0.1,0.1,-0.05031634639300263,0.265625,-0.18911397720218082
2026-01-30,0.013394697546583106,0.13394697546583106,10,0.6,0.6,-0.03757413760508548,0.3325,-0.17825240418205235
2026-02-02,-0.011228553620000586,-0.11228553620000586,10,0.5,0.5,-0.033183206940904666,0.36041666666666666,-0.18747944112380077
2026-02-03,0.006161969387634847,0.06161969387634847,10,0.5,0.5,-0.027562467465399025,0.3803571428571429,-0.18247271431318157
2026-02-04,0.05254850735333875,0.5254850735333875,10,0.7,0.7,-0.0175485956130568,0.4203125,-0.13951287572971272
2026-02-05,0.03329429547962991,0.33294295479629904,10,0.5,0.5,-0.011899385491647168,0.42916666666666664,-0.11086356315784085
2026-02-06,-0.006326979433037995,-0.06326979433037995,10,0.6,0.6,-0.01134214488578625,0.44625000000000004,-0.11648911110690585
2026-02-09,-0.019612652165471565,-0.19612652165471564,10,0.5,0.5,-0.012094009183939462,0.45113636363636367,-0.13381710285517268
2026-02-10,0.03413446617065765,0.3413446617065765,10,0.7,0.7,-0.008241636237723034,0.471875,-0.1042504120549802
2026-02-11,-0.028989958551414736,-0.28989958551414735,10,0.1,0.1,-0.009837661031083935,0.4432692307692308,-0.13021815548195315
2026-02-12,0.05188009760750251,0.5188009760750251,10,0.8,0.8,-0.005429249699756332,0.46875,-0.08509378849112337
2026-02-13,0.00865433091167882,0.095197640028467,11,0.5454545454545454,0.5454545454545454,-0.004490344325660655,0.4738636363636363,-0.07717588738357506
2026-02-17,0.020629646275498043,0.20629646275498043,10,0.6,0.6,-0.0029203449130882366,0.4817471590909091,-0.058138352365797896
2026-02-18,0.04298983559847611,0.4298983559847611,10,0.6,0.6,-0.00021974605946680428,0.4887032085561498,-0.01764787497749365
2026-02-19,0.015141189080290237,0.15141189080290238,10,0.6,0.6,0.0006336392260752536,0.4948863636363636,-0.0027738957091030247
2026-02-20,0.016131576878520505,0.16131576878520504,10,0.6,0.6,0.0014493201551513193,0.5004186602870814,0.013312933857533071
2026-02-23,0.05297226201262053,0.5826948821388258,11,0.7272727272727273,0.7272727272727273,0.004025467248024781,0.5117613636363636,0.06699041209061152
2026-02-24,0.03277612695335743,0.3277612695335743,10,0.7,0.7,0.006317682753317724,0.5267613636363636,0.10196222529530874
2026-02-25,-0.02525001646405763,-0.2525001646405763,10,0.3,0.3,0.007346785525243478,0.5292613636363636,0.07413766096383267
2026-02-26,-0.05421962792322268,-0.5421962792322268,10,0.2,0.2,0.006186694982735316,0.5236363636363637,0.01589831664805308
