pred_date,avg_return,total_return,n_picks,direction_accuracy,positive_rate,rolling_avg_return,rolling_accuracy,cumulative_return
2026-01-23,-0.013068173093303692,-0.13068173093303692,10,0.4,0.4,-0.013068173093303692,0.4,-0.013068173093303659
2026-01-27,-0.04583208000723678,-0.9166416001447355,20,0.25,0.25,-0.029450126550270236,0.325,-0.05830131154577978
2026-01-28,-0.02959271032751177,-0.5030760755677001,17,0.29411764705882354,0.29411764705882354,-0.029497654476017415,0.31470588235294117,-0.08616872804900322
2026-01-29,-0.08568166521566854,-0.8568166521566855,10,0.1,0.1,-0.0435436571609302,0.2610294117647059,-0.16446731315591712
2026-01-30,-0.022729994845805342,-0.22729994845805343,10,0.4,0.4,-0.039380924697905224,0.28882352941176476,-0.18345896682138496
2026-02-02,-0.07064648678804357,-0.7064648678804357,10,0.2,0.2,-0.04459185171292829,0.2740196078431373,-0.2411447221337334
2026-02-03,-0.05660437494399543,-0.5660437494399543,10,0.3,0.3,-0.04630792646022359,0.2777310924369748,-0.2840992508103054
