pred_date,avg_return,total_return,n_picks,direction_accuracy,positive_rate,rolling_avg_return,rolling_accuracy,cumulative_return
2026-01-23,-0.013068180565157,-0.13068180565157,10,0.4,0.4,-0.013068180565157,0.4,-0.013068180565157017
2026-01-27,-0.04583208353650577,-0.9166416707301155,20,0.25,0.25,-0.029450132050831385,0.325,-0.05830132215833039
2026-01-28,-0.031017836858725386,-0.4962853897396062,16,0.3125,0.3125,-0.029972700320129386,0.32083333333333336,-0.0875107781177007
2026-01-29,-0.11134731803572202,-1.1134731803572202,10,0.1,0.1,-0.05031635474902754,0.265625,-0.18911400571079762
2026-01-30,0.013394680694385947,0.13394680694385946,10,0.6,0.6,-0.03757414766034485,0.3325,-0.1782524467377441
2026-02-02,-0.011228557227717966,-0.11228557227717967,10,0.5,0.5,-0.0331832159215737,0.36041666666666666,-0.18747948616628662
2026-02-03,0.006161979886821918,0.06161979886821918,10,0.5,0.5,-0.02756247366323147,0.3803571428571429,-0.182472751102413
2026-02-04,0.055339112402649535,0.4980520116238458,9,0.6666666666666666,0.6666666666666666,-0.017199775404996342,0.4161458333333333,-0.13723151878344064
2026-02-05,0.03329427809772463,0.3329427809772463,10,0.5,0.5,-0.011589325015805126,0.42546296296296293,-0.10850626503586502
2026-02-06,-0.006326955499366864,-0.06326955499366864,10,0.6,0.6,-0.011063088064161298,0.4429166666666666,-0.11414670622494749
2026-02-09,-0.01961264947019506,-0.1961264947019506,10,0.5,0.5,-0.011840320919255276,0.44810606060606056,-0.13152063635777533
2026-02-10,0.03413446781322451,0.3413446781322451,10,0.7,0.7,-0.00800908852488196,0.4690972222222222,-0.10187555547308014
2026-02-11,-0.028989949151784454,-0.28989949151784455,10,0.1,0.1,-0.009623000880797537,0.44070512820512825,-0.12791213745189023
2026-02-12,0.05188011021499853,0.5188011021499853,10,0.8,0.8,-0.005229921516812104,0.4663690476190476,-0.08266812302573179
2026-02-13,0.008654293065752678,0.09519722372327946,11,0.5454545454545454,0.5454545454545454,-0.004304307211307785,0.47164141414141414,-0.0747292641238394
2026-02-17,0.020629645034528157,0.20629645034528157,10,0.6,0.6,-0.0027459351959430384,0.47966382575757577,-0.05564125728187752
2026-02-18,0.042989843485777765,0.4298984348577777,10,0.6,0.6,-5.5595273488873494e-05,0.4867424242424242,-0.015043422737999523
2026-02-19,0.015141180542566895,0.15141180542566895,10,0.6,0.6,0.0007886700496253358,0.4930345117845118,-0.00013001737508677724
2026-02-20,0.016131548596316447,0.16131548596316447,10,0.6,0.6,0.0015961899731353943,0.49866427432216903,0.01599943383962521
2026-02-23,0.052972278240732716,0.5826950606480599,11,0.7272727272727273,0.7272727272727273,0.004164994386515261,0.5100946969696969,0.0698192385414047
2026-02-24,0.032776100408654,0.32776100408654,10,0.7,0.7,0.0064572084352058105,0.525094696969697,0.10488374132294753
2026-02-25,-0.027918047636406446,-0.251262428727658,9,0.3333333333333333,0.3333333333333333,0.007352910230210776,0.5292613636363636,0.07403754440000254
2026-02-26,-0.054219650661789055,-0.5421965066178905,10,0.2,0.2,0.006192819540057593,0.5236363636363637,0.015803603944988698
2026-02-27,-0.11149200050635329,-1.1149200050635328,10,0.2,0.2,0.00618558541652603,0.5286363636363636,-0.09745037198040152
2026-03-02,-0.03621438873072051,-0.36214388730720515,10,0.2,0.2,0.003705131945270707,0.5086363636363636,-0.1301356550582704
2026-03-03,-0.004975252337778723,-0.049752523377787225,10,0.5,0.5,0.0040177971897676695,0.5086363636363636,-0.13446344967399215
2026-03-04,-0.03351923938624141,-0.3351923938624141,10,0.2,0.2,0.002033736226114503,0.49363636363636365,-0.16347557650191125
2026-03-05,-0.03788532023682191,-0.37885320236821907,10,0.3,0.3,-0.0026274854058590696,0.4753030303030304,-0.19516757217205916
